id,organization,rating_category,rating_content_descriptions
3,1,6,"[3, 29]"
10,1,5,"[29, 3]"
23,1,3,
24,1,3,
25,1,3,
58,1,6,"[21, 10, 4]"
65,1,5,[31]
67,1,3,[31]
89,1,5,"[4, 29]"
103,1,6,"[29, 21, 3, 24]"
123,1,4,[9]
124,1,3,[33]
127,1,5,"[32, 29]"
129,1,3,[29]
130,1,4,"[11, 9]"
148,1,3,[1]
154,1,4,[29]
155,1,5,[29]
162,1,3,[31]
189,1,3,[33]
190,1,3,[5]
191,1,5,"[5, 7]"
193,1,3,[37]
210,1,3,"[33, 6]"
211,1,4,"[7, 37]"
214,1,3,"[5, 6]"
215,1,3,[5]
216,1,5,[9]
217,1,3,[5]
219,1,5,"[24, 9, 1]"
223,1,5,"[9, 3, 7]"
227,1,6,"[10, 4, 21]"
229,1,5,"[9, 2]"
235,1,5,"[3, 11, 29, 24]"
239,1,3,"[36, 37]"
251,1,3,[9]
252,1,4,[33]
257,1,5,"[3, 29, 8]"
264,1,5,[6]
265,1,3,"[32, 31]"
268,1,5,"[29, 2]"
269,1,5,[29]
271,1,5,"[29, 3]"
273,1,3,
281,1,4,"[9, 11]"
282,1,5,[29]
285,1,6,"[26, 18, 29, 11, 4]"
303,1,5,"[29, 11, 3]"
304,1,5,"[3, 29]"
306,1,6,"[29, 3, 21]"
310,1,5,[9]
313,1,6,"[3, 29, 18, 11]"
314,1,5,"[32, 2, 29]"
319,1,4,[9]
322,1,5,"[32, 29]"
324,1,5,[9]
330,1,3,
339,1,3,
340,1,3,
342,1,3,
344,1,6,"[10, 21, 18, 8, 4]"
347,1,6,"[29, 18, 3, 21, 26]"
348,1,6,"[29, 26, 21, 3, 18]"
363,1,5,"[26, 29, 3]"
371,1,3,"[33, 1]"
372,1,6,"[21, 4, 10]"
384,1,3,[33]
390,1,6,"[10, 15, 4]"
392,1,3,[6]
398,1,5,[31]
419,1,6,"[10, 3]"
422,1,5,[31]
427,1,3,
439,1,3,[6]
440,1,5,[29]
449,1,5,[31]
450,1,3,[29]
463,1,3,[37]
469,1,5,"[33, 3, 15, 32]"
470,1,3,[31]
473,1,3,[29]
474,1,3,[37]
476,1,3,
477,1,6,"[29, 3]"
479,1,5,"[45, 6]"
484,1,3,[37]
485,1,3,[6]
487,1,3,[43]
489,1,5,[29]
490,1,5,"[29, 3]"
